Id,Symbol,Market,SecurityNameTh,SecurityName
478,S,SET,บริษัท สิงห์ เอสเตท จำกัด (มหาชน),SINGHA ESTATE PUBLIC COMPANY LIMITED
479,S & J,SET,บ.เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),S & J INTERNATIONAL ENTERPRISES PUBLIC COMPANY LIMITED
480,S11,SET,บริษัท เอส 11 กรุ๊ป จำกัด (มหาชน),S 11 GROUP PUBLIC COMPANY LIMITED
481,SABINA,SET,บริษัท ซาบีน่า จำกัด (มหาชน),SABINA PUBLIC COMPANY LIMITED
482,SAFARI,SET,บริษัท ซาฟารีเวิลด์ จำกัด (มหาชน),SAFARI WORLD PUBLIC COMPANY LIMITED
483,SALEE,mai,บริษัท สาลี่อุตสาหกรรม จำกัด (มหาชน),SALEE INDUSTRY PUBLIC COMPANY LIMITED
484,SAM,SET,บริษัท สามชัย สตีล อินดัสทรี จำกัด (มหาชน),SAMCHAI STEEL INDUSTRIES PUBLIC COMPANY LIMITED
485,SAMART,SET,บริษัท สามารถคอร์ปอเรชั่น จำกัด (มหาชน),SAMART CORPORATION PUBLIC COMPANY LIMITED
486,SAMCO,SET,บริษัท สัมมากร จำกัด (มหาชน),SAMMAKORN PUBLIC COMPANY LIMITED
487,SAMTEL,SET,บริษัท สามารถเทลคอม จำกัด (มหาชน),SAMART TELCOMS PUBLIC COMPANY LIMITED
488,SANKO,mai,บริษัท ซังโกะ ไดคาซติ้ง (ประเทศไทย) จำกัด (มหาชน),SANKO DIECASTING (THAILAND) PUBLIC COMPANY LIMITED
489,SAPPE,SET,บริษัท เซ็ปเป้ จำกัด (มหาชน),SAPPE PUBLIC COMPANY LIMITED
490,SAT,SET,บริษัท สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี จำกัด (มหาชน),SOMBOON ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED
491,SAUCE,SET,บริษัท ไทยเทพรส จำกัด (มหาชน),THAITHEPAROS PUBLIC COMPANY LIMITED
492,SAWAD,SET,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),SRISAWAD CORPORATION PUBLIC COMPANY LIMITED
493,SAWANG,SET,บริษัท สว่างเอ็กซ์ปอร์ต จำกัด (มหาชน),SAWANG EXPORT PUBLIC COMPANY LIMITED
494,SBPF,SET,กองทุนรวมอสังหาริมทรัพย์ สมุยบุรี,SAMUI BURI PROPERTY FUND
495,SC,SET,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),SC ASSET CORPORATION PUBLIC COMPANY LIMITED
496,SCB,SET,ธนาคารไทยพาณิชย์ จำกัด (มหาชน),THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED
497,SCC,SET,บริษัท ปูนซิเมนต์ไทย จำกัด(มหาชน),THE SIAM CEMENT PUBLIC COMPANY LIMITED
498,SCCC,SET,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),SIAM CITY CEMENT PUBLIC COMPANY LIMITED
499,SCG,SET,บริษัท สหโคเจน (ชลบุรี) จำกัด (มหาชน),SAHACOGEN (CHONBURI) PUBLIC COMPANY LIMITED
500,SCI,SET,บริษัท เอสซีไอ อีเลคตริค จำกัด (มหาชน),SCI ELECTRIC PUBLIC COMPANY LIMITED
501,SCN,SET,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),SCAN INTER PUBLIC COMPANY LIMITED
502,SCP,SET,บริษัท ทักษิณคอนกรีต จำกัด (มหาชน),SOUTHERN CONCRETE PILE PUBLIC COMPANY LIMITED
503,SDC,SET,บริษัท สามารถ ดิจิตอล จำกัด (มหาชน),SAMART DIGITAL PUBLIC COMPANY LIMITED
504,SE,mai,บริษัท สยามอีสต์ โซลูชั่น จำกัด (มหาชน),SIAMEAST SOLUTIONS PUBLIC COMPANY LIMITED
505,SE-ED,SET,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),SE-EDUCATION PUBLIC COMPANY LIMITED
506,SEAFCO,SET,บริษัท ซีฟโก้ จำกัด (มหาชน),SEAFCO PUBLIC COMPANY LIMITED
507,SEAOIL,mai,บริษัท ซีออยล์ จำกัด (มหาชน),SEA OIL PUBLIC COMPANY LIMITED
508,SELIC,mai,บริษัท ซีลิค คอร์พ จำกัด (มหาชน),SELIC CORP PUBLIC COMPANY LIMITED
509,SENA,SET,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),SENADEVELOPMENT PUBLIC COMPANY LIMITED
510,SF,SET,บริษัท สยามฟิวเจอร์ ดีเวลอปเมนท์ จำกัด (มหาชน),SIAM FUTURE DEVELOPMENT PUBLIC COMPANY LIMITED
511,SFP,SET,บริษัท อาหารสยาม จำกัด(มหาชน),SIAM FOOD PRODUCTS PUBLIC COMPANY LIMITED
512,SGF,mai,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),SGF CAPITAL PUBLIC COMPANY LIMITED
513,SGP,SET,บริษัท สยามแก๊ส แอนด์ ปิโตรเคมีคัลส์ จำกัด (มหาชน),SIAMGAS AND PETROCHEMICALS PUBLIC COMPANY LIMITED
514,SHANG,SET,บริษัท แชงกรี-ลา โฮเต็ล จำกัด (มหาชน),SHANGRI-LA HOTEL PUBLIC COMPANY LIMITED
515,SIAM,SET,บริษัท สยามสตีลอินเตอร์เนชั่นแนล จำกัด (มหาชน),SIAM STEEL INTERNATIONAL PUBLIC COMPANY LIMITED
516,SIMAT,mai,บริษัท ไซแมท เทคโนโลยี จำกัด (มหาชน),SIMAT TECHNOLOGIES PUBLIC COMPANY LIMITED
517,SINGER,SET,บริษัท ซิงเกอร์ประเทศไทย จำกัด (มหาชน),SINGER THAILAND PUBLIC COMPANY LIMITED
518,SIRI,SET,บริษัท แสนสิริ จำกัด (มหาชน),SANSIRI PUBLIC COMPANY LIMITED
519,SIRIP,SET,กองทุนรวมอสังหาริมทรัพย์แสนสิริ ไพร์มออฟฟิศ,SIRI PRIME OFFICE PROPERTY FUND
520,SIS,SET,บริษัท เอสไอเอส ดิสทริบิวชั่น (ประเทศไทย) จำกัด (มหาชน),SIS DISTRIBUTION (THAILAND) PUBLIC COMPANY LIMITED
521,SITHAI,SET,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),SRITHAI SUPERWARE PUBLIC COMPANY LIMITED
522,SKN,SET,บริษัท ส.กิจชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),S.KIJCHAI ENTERPRISE PUBLIC COMPANY LIMITED
523,SKR,SET,บริษัท ศิครินทร์ จำกัด (มหาชน),SIKARIN PUBLIC COMPANY LIMITED
524,SKY,mai,บริษัท สกาย ไอซีที จำกัด (มหาชน),SKY ICT PUBLIC COMPANY LIMITED
525,SLP,SET,บริษัท สาลี่ พริ้นท์ติ้ง จำกัด (มหาชน),SALEE PRINTING PUBLIC COMPANY LIMITED
526,SMART,mai,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน),SMART CONCRETE PUBLIC COMPANY LIMITED
527,SMIT,SET,บริษัท สหมิตรเครื่องกล จำกัด (มหาชน),SAHAMIT MACHINERY PUBLIC COMPANY LIMITED
528,SMK,SET,บริษัท สินมั่นคงประกันภัย จำกัด (มหาชน),SYN MUN KONG INSURANCE PUBLIC COMPANY LIMITED
529,SMM,SET,บริษัท สยามอินเตอร์มัลติมีเดีย จำกัด (มหาชน),SIAM INTER MULTIMEDIA PUBLIC COMPANY LIMITED
530,SMPC,SET,บริษัท สหมิตรถังแก๊ส จำกัด (มหาชน),SAHAMITR PRESSURE CONTAINER PUBLIC COMPANY LIMITED
531,SMT,SET,บริษัท สตาร์ส ไมโครอิเล็กทรอนิกส์ (ประเทศไทย) จำกัด (มหาชน),STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED
532,SNC,SET,บริษัท เอส เอ็น ซี ฟอร์เมอร์ จำกัด (มหาชน),SNC FORMER PUBLIC COMPANY LIMITED
533,SNP,SET,บริษัท เอส แอนด์ พี ซินดิเคท จำกัด (มหาชน),S & P SYNDICATE PUBLIC COMPANY LIMITED
534,SOLAR,SET,บริษัท โซลาร์ตรอน จำกัด (มหาชน),SOLARTRON PUBLIC COMPANY LIMITED
535,SORKON,SET,บริษัท ส. ขอนแก่นฟู้ดส์ จำกัด (มหาชน),S. KHONKAEN FOODS PUBLIC COMPANY LIMITED
536,SPA,mai,บริษัท สยามเวลเนสกรุ๊ป จำกัด (มหาชน),SIAM WELLNESS GROUP PUBLIC COMPANY LIMITED
537,SPACK,SET,บริษัท เอส. แพ็ค แอนด์ พริ้นท์ จำกัด (มหาชน),S. PACK & PRINT PUBLIC COMPANY LIMITED
538,SPALI,SET,บริษัท ศุภาลัย จำกัด (มหาชน),SUPALAI PUBLIC COMPANY LIMITED
539,SPC,SET,บริษัท สหพัฒนพิบูล จำกัด (มหาชน),SAHA PATHANAPIBUL PUBLIC COMPANY LIMITED
540,SPCG,SET,บริษัท เอสพีซีจี จำกัด (มหาชน),SPCG PUBLIC COMPANY LIMITED
541,SPF,SET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์สนามบินสมุย,SAMUI AIRPORT PROPERTY FUND (LEASEHOLD)
542,SPG,SET,บริษัท สยามภัณฑ์กรุ๊ป จำกัด (มหาชน),THE SIAM PAN GROUP PUBLIC COMPANY LIMITED
543,SPI,SET,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),SAHA PATHANA INTER-HOLDING PUBLIC COMPANY LIMITED
544,SPORT,SET,บริษัท สยามสปอร์ต ซินดิเคท จำกัด (มหาชน),SIAM SPORT SYNDICATE PUBLIC COMPANY LIMITED
545,SPPT,SET,บริษัท ซิงเกิ้ล พอยท์ พาร์ท (ประเทศไทย) จำกัด (มหาชน),SINGLE POINT PARTS (THAILAND) PUBLIC COMPANY LIMITED
546,SPRC,SET,บริษัท สตาร์ ปิโตรเลียม รีไฟน์นิ่ง จำกัด (มหาชน),STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED
547,SPVI,mai,บริษัท เอส พี วี ไอ จำกัด (มหาชน),S P V I PUBLIC COMPANY LIMITED
548,SQ,SET,บริษัท สหกลอิควิปเมนท์ จำกัด (มหาชน),SAHAKOL EQUIPMENT PUBLIC COMPANY LIMITED
549,SR,mai,บริษัท สยามราช จำกัด (มหาชน),SIAMRAJ PUBLIC COMPANY LIMITED
550,SRICHA,SET,บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน),SRIRACHA CONSTRUCTION PUBLIC COMPANY LIMITED
551,SRIPANWA,SET,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์โรงแรมศรีพันวา,SRI PANWA HOSPITALITY REAL ESTATE INVESTMENT TRUST
552,SSC,SET,บริษัท เสริมสุข จำกัด (มหาชน),SERMSUK PUBLIC COMPANY LIMITED
553,SSF,SET,บริษัท สุรพลฟู้ดส์ จำกัด (มหาชน),SURAPON FOODS PUBLIC COMPANY LIMITED
554,SSI,SET,บริษัท สหวิริยาสตีลอินดัสตรี จำกัด (มหาชน),SAHAVIRIYA STEEL INDUSTRIES PUBLIC COMPANY LIMITED
555,SSP,mai,บริษัท เสริมสร้าง พาวเวอร์ คอร์ปอเรชั่น จำกัด (มหาชน),SERMSANG POWER CORPORATION PUBLIC COMPANY LIMITED
556,SSPF,SET,กองทุนรวมอสังหาริมทรัพย์ศาลาแอทสาทร,SALA @ SATHORN PROPERTY FUND
557,SSSC,SET,บริษัท ศูนย์บริการเหล็กสยาม จำกัด (มหาชน),SIAM STEEL SERVICE CENTER PUBLIC COMPANY LIMITED
558,SST,SET,บริษัท ทรัพย์ศรีไทย จำกัด (มหาชน),SUB SRI THAI PUBLIC COMPANY LIMITED
559,SSTPF,SET,กองทุนรวมอสังหาริมทรัพย์ ทรัพย์ศรีไทย,SUB SRI THAI PROPERTY FUND
560,SSTSS,SET,กองทุนรวมอสังหาริมทรัพย์ทรัพย์ศรีไทย สมาร์ท สโตเรจ,SUBSRITHAI SMART STORAGE PROPERTY FUND
561,STA,SET,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED
562,STANLY,SET,บริษัท ไทยสแตนเลย์การไฟฟ้า จำกัด (มหาชน),THAI STANLEY ELECTRIC PUBLIC COMPANY LIMITED
563,STAR,mai,บริษัท สตาร์ ยูนิเวอร์แซล เน็ตเวิร์ค จำกัด (มหาชน),STAR UNIVERSAL NETWORK PUBLIC COMPANY LIMITED
564,STEC,SET,บริษัท ซิโน-ไทย เอ็นจีเนียริ่งแอนด์คอนสตรัคชั่น จำกัด(มหาชน),SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC CO.&sbquo;LTD.
565,STHAI,SET,บริษัท ซันไทยอุตสาหกรรมถุงมือยาง จำกัด (มหาชน),SHUN THAI RUBBER GLOVES INDUSTRY PUBLIC CO.&sbquo; LTD
566,STPI,SET,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),STP&I PUBLIC COMPANY LIMITED
567,SUC,SET,บริษัท สหยูเนี่ยน จำกัด (มหาชน),SAHA-UNION PUBLIC COMPANY LIMITED
568,SUPER,SET,บริษัท ซุปเปอร์บล๊อก จำกัด (มหาชน),SUPERBLOCK PUBLIC COMPANY LIMITED
569,SUSCO,SET,บริษัท ซัสโก้ จำกัด (มหาชน),SUSCO PUBLIC COMPANY LIMITED
570,SUTHA,SET,บริษัท สุธากัญจน์ จำกัด (มหาชน),GOLDEN LIME PUBLIC COMPANY LIMITED
571,SVH,SET,บริษัท สมิติเวช จำกัด (มหาชน),SAMITIVEJ PUBLIC COMPANY LIMITED
572,SVI,SET,บริษัท เอสวีไอ จำกัด (มหาชน),SVI PUBLIC COMPANY LIMITED
573,SVOA,SET,บริษัท เอสวีโอเอ จำกัด (มหาชน),SVOA PUBLIC COMPANY LIMITED
574,SWC,mai,บริษัท เชอร์วู้ด เคมิคอล จำกัด (มหาชน),SHERWOOD CHEMICALS PUBLIC COMPANY LIMITED
575,SYMC,SET,บริษัท ซิมโฟนี่ คอมมูนิเคชั่น จำกัด (มหาชน),SYMPHONY COMMUNICATION PUBLIC COMPANY LIMITED
576,SYNEX,SET,บริษัท ซินเน็ค (ประเทศไทย) จำกัด (มหาชน),SYNNEX (THAILAND) PUBLIC COMPANY LIMITED
577,SYNTEC,SET,บริษัท ซินเท็ค คอนสตรัคชั่น จำกัด (มหาชน),SYNTEC CONSTRUCTION PUBLIC COMPANY LIMITED
578,T,mai,บริษัท ที เอ็นจิเนียร์ริ่ง คอร์เปอร์เรชั่น จำกัด (มหาชน),T ENGINEERING CORPORATION PUBLIC COMPANY LIMITED
579,TACC,mai,บริษัท ที.เอ.ซี. คอนซูเมอร์ จำกัด (มหาชน),T.A.C. CONSUMER PUBLIC COMPANY LIMITED
580,TAE,SET,บริษัท ไทย อะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน),THAI AGRO ENERGY PUBLIC COMPANY LIMITED
581,TAKUNI,mai,บริษัท ทาคูนิ กรุ๊ป จำกัด (มหาชน),TAKUNI GROUP PUBLIC COMPANY LIMITED
582,TAPAC,mai,บริษัท ทาพาโก้ จำกัด (มหาชน),TAPACO PUBLIC COMPANY LIMITED
583,TASCO,SET,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),TIPCO ASPHALT PUBLIC COMPANY LIMITED
584,TBSP,SET,บริษัท ไทยบริติช ซีเคียวริตี้ พริ้นติ้ง จำกัด (มหาชน),THAI BRITISH SECURITY PRINTING PUBLIC COMPANY LIMITED
585,TC,SET,บริษัท ทรอปิคอลแคนนิ่ง (ประเทศไทย) จำกัด (มหาชน),TROPICAL CANNING (THAILAND) PUBLIC COMPANY LIMITED
586,TCAP,SET,บริษัท ทุนธนชาต จำกัด (มหาชน),THANACHART CAPITAL PUBLIC COMPANY LIMITED
587,TCB,SET,บริษัท ไทยคาร์บอนแบล็ค จำกัด (มหาชน),THAI CARBON BLACK PUBLIC COMPANY LIMITED
588,TCC,SET,บริษัท ไทย แคปปิตอล คอร์ปอเรชั่น จำกัด (มหาชน),THAI CAPITAL CORPORATION PUBLIC COMPANY LIMITED
589,TCCC,SET,บริษัท ไทยเซ็นทรัลเคมี จำกัด (มหาชน),THAI CENTRAL CHEMICAL PUBLIC COMPANY LIMITED
590,TCJ,SET,บริษัท ที.ซี.เจ.เอเซีย จำกัด (มหาชน),T.C.J. ASIA PUBLIC COMPANY LIMITED
591,TCMC,SET,บริษัท ทีซีเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),TCM CORPORATION PUBLIC COMPANY LIMITED
592,TCOAT,SET,บริษัท อุตสาหกรรมผ้าเคลือบพลาสติกไทย จำกัด (มหาชน),THAI COATING INDUSTRIAL PUBLIC COMPANY LIMITED
593,TEAM,SET,บริษัท ทีมพรีซิชั่น จำกัด (มหาชน),TEAM PRECISION PUBLIC COMPANY LIMITED
594,TFD,SET,บริษัท ไทยพัฒนาโรงงานอุตสาหกรรม จำกัด (มหาชน),THAI FACTORY DEVELOPMENT PUBLIC COMPANY LIMITED
595,TFG,SET,บริษัท ไทยฟู้ดส์ กรุ๊ป จำกัด (มหาชน),THAIFOODS GROUP PUBLIC COMPANY LIMITED
596,TFI,SET,บริษัท ไทยฟิล์มอินดัสตรี่ จำกัด (มหาชน),THAI FILM INDUSTRIES PUBLIC COMPANY LIMITED
597,TFMAMA,SET,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),THAI PRESIDENT FOODS PUBLIC COMPANY LIMITED
598,TFUND,SET,กองทุนรวมอสังหาริมทรัพย์ไทคอน,TICON PROPERTY FUND
599,TGCI,SET,บริษัท ไทย-เยอรมัน เซรามิค อินดัสทรี่ จำกัด (มหาชน),THAI-GERMAN CERAMIC INDUSTRY PUBLIC COMPANY LIMITED
600,TGPRO,SET,บริษัท ไทย-เยอรมัน โปรดักส์ จำกัด (มหาชน),THAI-GERMAN PRODUCTS PUBLIC COMPANY LIMITED
601,TGROWTH,SET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไทคอน อินดัสเทรียล โกรท,TICON INDUSTRIAL GROWTH LEASEHOLD PROPERTY FUND
602,TH,SET,บริษัท ตงฮั้ว โฮลดิ้ง จำกัด (มหาชน),TONG HUA HOLDING PUBLIC COMPANY LIMITED
603,THAI,SET,บริษัท การบินไทย จำกัด (มหาชน),THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED
604,THANA,mai,บริษัท ธนาสิริ กรุ๊ป จำกัด (มหาชน),THANASIRI GROUP PUBLIC COMPANY LIMITED
605,THANI,SET,บริษัท ราชธานีลิสซิ่ง จำกัด (มหาชน),RATCHTHANI LEASING PUBLIC COMPANY LIMITED
606,THCOM,SET,บริษัท ไทยคม จำกัด (มหาชน),THAICOM PUBLIC COMPANY LIMITED
607,THE,SET,บริษัท เดอะ สตีล จำกัด (มหาชน),THE STEEL PUBLIC COMPANY LIMITED
608,THIP,SET,บริษัท ทานตะวันอุตสาหกรรม จำกัด (มหาชน),THANTAWAN INDUSTRY PUBLIC COMPANY LIMITED
609,THL,SET,บริษัท ทุ่งคาฮาเบอร์ จำกัด (มหาชน),TONGKAH HARBOUR PUBLIC COMPANY LIMITED
610,THRE,SET,บริษัท ไทยรับประกันภัยต่อ จำกัด (มหาชน),THAI REINSURANCE PUBLIC COMPANY LIMITED
611,THREL,SET,บริษัท ไทยรีประกันชีวิต จำกัด (มหาชน),THAIRE LIFE ASSURANCE PUBLIC COMPANY LIMITED
612,TIC,SET,บริษัท ไทยประกันภัย จำกัด (มหาชน),THE THAI INSURANCE PUBLIC COMPANY LIMITED
613,TICON,SET,บริษัท ไทคอน อินดัสเทรียล คอนเน็คชั่น จำกัด (มหาชน),TICON INDUSTRIAL CONNECTION PUBLIC COMPANY LIMITED
614,TIF1,SET,กองทุนรวมอสังหาริมทรัพย์ไทยอินดัสเตรียล 1,THAI INDUSTRIAL FUND 1
615,TIP,SET,บริษัท ทิพยประกันภัย จำกัด (มหาชน),DHIPAYA INSURANCE PUBLIC COMPANY LIMITED
616,TIPCO,SET,บริษัท ทิปโก้ฟูดส์ จำกัด (มหาชน),TIPCO FOODS PUBLIC COMPANY LIMITED
617,TISCO,SET,บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน),TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED
618,TITLE,mai,บริษัท ร่มโพธิ์ พร็อพเพอร์ตี้ จำกัด (มหาชน),RHOM BHO PROPERTY PUBLIC COMPANY LIMITED
619,TIW,SET,บริษัท ไทยแลนด์ไอออนเวิคส์ จำกัด (มหาชน),THAILAND IRON WORKS PUBLIC COMPANY LIMITED
620,TK,SET,บริษัท ฐิติกร จำกัด (มหาชน),THITIKORN PUBLIC COMPANY LIMITED
621,TKN,SET,บริษัท เถ้าแก่น้อย ฟู๊ดแอนด์มาร์เก็ตติ้ง จำกัด (มหาชน),TAOKAENOI FOOD & MARKETING PUBLIC COMPANY LIMITED
622,TKS,SET,บริษัท ที.เค.เอส. เทคโนโลยี จำกัด (มหาชน),T.K.S. TECHNOLOGIES PUBLIC COMPANY LIMITED
623,TKT,SET,บริษัท ที.กรุงไทยอุตสาหกรรม จำกัด (มหาชน),T.KRUNGTHAI INDUSTRIES PUBLIC COMPANY LIMITED
624,TLGF,SET,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเทสโก้ โลตัส รีเทล โกรท,TESCO LOTUS RETAIL GROWTH FREEHOLD AND LEASEHOLD PROPERTY FUND
625,TLHPF,SET,กองทุนรวมอสังหาริมทรัพย์ ไทยแลนด์ โฮสพีทาลิตี้,THAILAND HOSPITALITY PROPERTY FUND
626,TLOGIS,SET,กองทุนรวมอสังหาริมทรัพย์ทีพาร์คโลจิสติคส์,TPARK LOGISTICS PROPERTY FUND
627,TLUXE,SET,บริษัท ไทยลักซ์ เอ็นเตอร์ไพรส์ จำกัด (มหาชน),THAILUXE ENTERPRISES PUBLIC COMPANY LIMITED
628,TM,mai,บริษัท เทคโนเมดิคัล จำกัด (มหาชน),TECHNO MEDICAL PUBLIC COMPANY LIMITED
629,TMB,SET,ธนาคารทหารไทย จำกัด (มหาชน),TMB BANK PUBLIC COMPANY LIMITED
630,TMC,mai,บริษัท ที.เอ็ม.ซี. อุตสาหกรรม จำกัด (มหาชน),T.M.C. INDUSTRIAL PUBLIC COMPANY LIMITED
631,TMD,SET,บริษัท อุตสาหกรรมถังโลหะไทย จำกัด (มหาชน),THAI METAL DRUM MANUFACTURING PUBLIC COMPANY LIMITED
632,TMI,mai,บริษัท ธีระมงคล อุตสาหกรรม จำกัด (มหาชน),TEERA-MONGKOL INDUSTRY PUBLIC COMPANY LIMITED
633,TMILL,mai,บริษัท ที เอส ฟลาวมิลล์ จำกัด (มหาชน),T S FLOUR MILL PUBLIC COMPANY LIMITED
634,TMT,SET,บริษัท ค้าเหล็กไทย จำกัด (มหาชน),THAI METAL TRADE PUBLIC COMPANY LIMITED
635,TMW,mai,บริษัท ไทยมิตซูวา จำกัด (มหาชน),THAI MITSUWA PUBLIC COMPANY LIMITED
636,TNDT,mai,บริษัท ไทย เอ็น ดี ที จำกัด (มหาชน),THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED
637,TNH,mai,บริษัท โรงพยาบาลไทยนครินทร์ จำกัด (มหาชน),THAI NAKARIN HOSPITAL PUBLIC COMPANY LIMITED
638,TNITY,SET,บริษัท ทรีนีตี้ วัฒนา จำกัด (มหาชน),TRINITY WATTHANA PUBLIC COMPANY LIMITED
639,TNL,SET,บริษัท ธนูลักษณ์ จำกัด (มหาชน),THANULUX PUBLIC COMPANY LIMITED
640,TNP,mai,บริษัท ธนพิริยะ จำกัด (มหาชน),THANAPIRIYA PUBLIC COMPANY LIMITED
641,TNPC,SET,บริษัท ไทยนามพลาสติกส์ จำกัด (มหาชน),THAI NAM PLASTIC PUBLIC COMPANY LIMITED
642,TNPF,SET,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าตรีนิตี้,TRINITY FREEHOLD AND LEASEHOLD PROPERTY FUND
643,TNR,SET,บริษัท ไทยนิปปอนรับเบอร์อินดัสตรี้ จำกัด (มหาชน),THAI NIPPON RUBBER INDUSTRY PUBLIC COMPANY LIMITED
644,TOA,SET,บริษัท ทีโอเอ เพ้นท์ (ประเทศไทย) จำกัด (มหาชน),TOA PAINT (THAILAND) PUBLIC COMPANY LIMITED
645,TOG,SET,บริษัท ไทยออพติคอล กรุ๊ป จำกัด (มหาชน),THAI OPTICAL GROUP PUBLIC COMPANY LIMITED
646,TOP,SET,บริษัท ไทยออยล์ จำกัด (มหาชน),THAI OIL PUBLIC COMPANY LIMITED
647,TOPP,SET,บริษัท ไทย โอ.พี.พี. จำกัด (มหาชน),THAI O.P.P. PUBLIC COMPANY LIMITED
648,TPA,SET,บริษัท ไทยโพลีอะคริลิค จำกัด (มหาชน),THAI POLY ACRYLIC PUBLIC COMPANY LIMITED
649,TPAC,mai,บริษัท พลาสติค และหีบห่อไทย จำกัด (มหาชน),THAI PLASPAC PUBLIC COMPANY LIMITED
650,TPBI,SET,บริษัท ทีพีบีไอ จำกัด (มหาชน),TPBI PUBLIC COMPANY LIMITED
651,TPCH,mai,บริษัท ทีพีซี เพาเวอร์โฮลดิ้ง จำกัด (มหาชน),TPC POWER HOLDING PUBLIC COMPANY LIMITED
652,TPCORP,SET,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด (มหาชน),TEXTILE PRESTIGE PUBLIC COMPANY LIMITED
653,TPIPL,SET,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),TPI POLENE PUBLIC COMPANY LIMITED
654,TPIPP,SET,บริษัท ทีพีไอ โพลีน เพาเวอร์ จำกัด (มหาชน),TPI POLENE POWER PUBLIC COMPANY LIMITED
655,TPOLY,SET,บริษัท ไทยโพลีคอนส์ จำกัด (มหาชน),THAI POLYCONS PUBLIC COMPANY LIMITED
656,TPP,SET,บริษัท ไทยบรรจุภัณฑ์และการพิมพ์ จำกัด (มหาชน),THAI PACKAGING & PRINTING PUBLIC COMPANY LIMITED
657,TPRIME,SET,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าไทยแลนด์ ไพร์ม พร็อพเพอร์ตี้,THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
658,TR,SET,บริษัท ไทยเรยอน จำกัด (มหาชน),THAI RAYON PUBLIC COMPANY LIMITED
659,TRC,SET,บริษัท ทีอาร์ซี คอนสตรัคชั่น จำกัด (มหาชน),TRC CONSTRUCTION PUBLIC COMPANY LIMITED
660,TREIT,SET,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ไทคอน,TICON FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST
661,TRITN,SET,บริษัท ไทรทัน โฮลดิ้ง จำกัด (มหาชน),TRITON HOLDING PUBLIC COMPANY LIMITED
662,TRT,mai,บริษัท ถิรไทย จำกัด (มหาชน),TIRATHAI PUBLIC COMPANY LIMITED
663,TRU,SET,บริษัท ไทยรุ่งยูเนียนคาร์ จำกัด (มหาชน),THAI RUNG UNION CAR PUBLIC COMPANY LIMITED
664,TRUBB,SET,บริษัท ไทยรับเบอร์ลาเท็คซ์คอร์ปอร์เรชั่น (ประเทศไทย) จำกัด (มหาชน),THAI RUBBER LATEX CORPORATION (THAILAND) PUBLIC CO.&sbquo;LTD.
