Id,Symbol,Market,SecurityNameTh,SecurityName
213,GENCO,SET,บริษัทบริหารและพัฒนาเพื่อการอนุรักษ์สิ่งแวดล้อม จำกัด(มหาชน),GENERAL ENVIRONMENTAL CONSERVATION PUBLIC CO.&sbquo; LTD.
214,GFPT,SET,บริษัท จีเอฟพีที จำกัด (มหาชน),GFPT PUBLIC COMPANY LIMITED
215,GGC,SET,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED
216,GIFT,SET,บริษัท แกรททิทูด อินฟินิท จำกัด (มหาชน),GRATITUDE INFINITE PUBLIC COMPANY LIMITED
217,GJS,SET,บริษัท จี เจ สตีล จำกัด (มหาชน),G J STEEL PUBLIC COMPANY LIMITED
218,GL,SET,บริษัท กรุ๊ปลีส จำกัด (มหาชน),GROUP LEASE PUBLIC COMPANY LIMITED
219,GLAND,SET,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),GRAND CANAL LAND PUBLIC COMPANY LIMITED
220,GLANDRT,SET,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ อาคารสำนักงาน จีแลนด์,GLAND OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST
221,GLOBAL,SET,บริษัท สยามโกลบอลเฮ้าส์ จำกัด (มหาชน),SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED
222,GLOW,SET,บริษัท โกลว์ พลังงาน จำกัด (มหาชน),GLOW ENERGY PUBLIC COMPANY LIMITED
223,GOLD,SET,บริษัท แผ่นดินทอง พร็อพเพอร์ตี้ ดีเวลลอปเม้นท์ จำกัด (มหาชน),GOLDEN LAND PROPERTY DEVELOPMENT PUBLIC COMPANY LIMITED
224,GOLDPF,SET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์โกลด์,GOLD PROPERTY FUND (LEASE HOLD)
225,GPSC,SET,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED
226,GRAMMY,SET,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),GMM GRAMMY PUBLIC COMPANY LIMITED
227,GRAND,SET,บริษัท แกรนด์ แอสเสท โฮเทลส์ แอนด์ พรอพเพอร์ตี้ จำกัด(มหาชน),GRANDE ASSET HOTELS AND PROPERTY PUBLIC COMPANY LIMITED
228,GREEN,SET,บริษัท กรีน รีซอร์สเซส จำกัด (มหาชน),GREEN RESOURCES PUBLIC COMPANY LIMITED
229,GSTEL,SET,บริษัท จี สตีล จำกัด (มหาชน),G STEEL PUBLIC COMPANY LIMITED
230,GTB,mai,บริษัท เจตาแบค จำกัด (มหาชน),GETABEC PUBLIC COMPANY LIMITED
231,GUNKUL,SET,บริษัท กันกุลเอ็นจิเนียริ่ง จำกัด (มหาชน),GUNKUL ENGINEERING PUBLIC COMPANY LIMITED
232,GVREIT,SET,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์โกลเด้นเวนเจอร์,GOLDEN VENTURES LEASEHOLD REAL ESTATE INVESTMENT TRUST
233,GYT,SET,บริษัท กู๊ดเยียร์(ประเทศไทย) จำกัด (มหาชน),GOODYEAR (THAILAND) PUBLIC COMPANY LIMITED
234,HANA,SET,บริษัท ฮานา ไมโครอิเล็คโทรนิคส จำกัด (มหาชน),HANA MICROELECTRONICS PUBLIC COMPANY LIMITED
235,HARN,mai,บริษัท หาญ เอ็นจิเนียริ่ง โซลูชั่นส์ จำกัด (มหาชน),HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED
236,HFT,SET,บริษัท ฮั้วฟง รับเบอร์ (ไทยแลนด์) จำกัด (มหาชน),HWA FONG RUBBER (THAILAND) PUBLIC COMPANY LIMITED
237,HMPRO,SET,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),HOME PRODUCT CENTER PUBLIC COMPANY LIMITED
238,HOTPOT,mai,บริษัท ฮอท พอท จำกัด (มหาชน),HOT POT PUBLIC COMPANY LIMITED
239,HPF,SET,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเหมราชอินดัสเตรียล,HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND
240,HPT,mai,บริษัท โฮม พอตเทอรี่ จำกัด (มหาชน),HOME POTTERY PUBLIC COMPANY LIMITED
241,HREIT,SET,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์เหมราช,HEMARAJ LEASEHOLD REAL ESTATE INVESTMENT TRUST
242,HTC,SET,บริษัท หาดทิพย์ จำกัด (มหาชน),HAAD THIP PUBLIC COMPANY LIMITED
243,HTECH,SET,บริษัท แฮลเซี่ยน เทคโนโลยี่ จำกัด (มหาชน),HALCYON TECHNOLOGY PUBLIC COMPANY LIMITED
244,HYDRO,mai,บริษัท ไฮโดรเท็ค จำกัด (มหาชน),HYDROTEK PUBLIC COMPANY LIMITED
245,ICC,SET,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),I.C.C. INTERNATIONAL PUBLIC COMPANY LIMITED
246,ICHI,SET,บริษัท อิชิตัน กรุ๊ป จำกัด (มหาชน),ICHITAN GROUP PUBLIC COMPANY LIMITED
247,ICN,mai,บริษัท อินฟอร์เมชั่น แอนด์ คอมมิวนิเคชั่น เน็ทเวิร์คส จำกัด (มหาชน),INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY LIMITED
